"Title","PublicationDate","Year"
"new head for the who global program on aids","1990 Jun 15",1990
"immunopathogenetic concepts of hiv infection","1990 Jun 15",1990
"hiv related knowledge and behaviors among high school students selected u s sites 1989","1990 Jun 15",1990
"efficient management of diarrhea in the acquired immunodeficiency syndrome aids a medical decision analysis","1990 Jun 15",1990
"in vivo t lymphocyte origin of macrophage tropic strains of hiv role of monocytes during in vitro isolation and in vivo infection","1990 Jun 15",1990
"epitopes recognized by the neutralizing antibodies of an hiv 1 infected individual","1990 Jun 15",1990
"aids blocks on the viral exit","1990 Jun 14",1990
"screening immigrants and international travelers for the human immunodeficiency virus","1990 Jun 14",1990
"prevention of hiv 1 glycoprotein transport by soluble cd4 retained in the endoplasmic reticulum","1990 Jun 14",1990
"protection of chimpanzees from infection by hiv 1 after vaccination with recombinant glycoprotein gp120 but not gp160","1990 Jun 14",1990
"antibodies against aids proteins","1990 Jun 14",1990
"siv pathogenicity fast acting slow viruses","1990 Jun 14",1990
"fast solid support detection of pcr amplified viral dna sequences using radioiodinated or hapten labelled primers","1990 Jun 11",1990
"will chimps come up trumps in hiv war","1990 Jun 28-Jul 11",1990
"interferon alpha in patients with asymptomatic human immunodeficiency virus hiv infection a randomized placebo controlled trial","1990 Jun 1",1990
"experiences from two hiv prevention projects among drug abusers in oslo is methadone maintenance treatment useful","1990 Jun 10",1990
"the silent carrier of the human immunodeficiency virus","1990 Jun 9",1990
"how to deal with aids in the work place","1990 Jul",1990
"facing the obligation to provide aids training","1990 Jul",1990
"begin to prepare for osha bloodborne disease regs","1990 Jul",1990
"induction of cd4 human cytolytic t cells specific for hiv infected cells by a gp160 subunit vaccine","1990 Jun 8",1990
"update serologic testing for hiv 1 antibody united states 1988 and 1989","1990 Jun 8",1990
"collection and transfusion of blood in the united states 1982 1988","1990 Jun 7",1990
"hiv infection and residents","1990 Jun 6",1990
"current developments in the anti retroviral treatment of hiv infected patients","1990 Jun 5",1990
"cd4 molecules are restricted to the basolateral membrane domain of in vitro differentiated human colon cancer cells ht29 d4","1990 Jun 4",1990
"heterosexual hiv infection in denmark observations from an infectious disease department","1990 Jun 4",1990
"donor hiv 1 p24 antigenaemia and course of infection in recipients transfusion safety study group","1990 Jun 2",1990
"global aids situation updated june 1990","1990 Jun",1990
"tarasoff and confidentiality in aids related psychotherapy","1990 Jun",1990
"aids scan","1990 Jun",1990
"neurologic complications of aids","1990 Jun",1990
"pulmonary deposition of nebulised pentamidine isethionate effect of nebuliser type dose and volume of fill","1990 Jun",1990
"emerging aids epidemic in ireland clinicopathological findings in 23 early cases","1990 Jun",1990
"educational requirements of human sexuality in the counseling for and prevention of sexually transmitted diseases","1990 Jun",1990
"prevention of hiv infections in prisons","1990 Jun-Jul",1990
"proposed standard on bloodborne pathogens summary of key provisions","1990 Jun-Jul",1990
"impact of hiv infection on the tuberculosis problem worldwide","1990 Jun",1990
"adolescents thoughts and feelings about aids in relation to cognitive maturity","1990 Jun",1990
"french public opinion regarding the diversification of retail outlets for condoms","1990 Jun",1990
"many people who seek anonymous hiv antibody testing would avoid it under other circumstances","1990 Jun",1990
"prevention of transfusion associated hiv transmission in kinshasa zaire hiv screening is not enough","1990 Jun",1990
"toxoplasma gondii serology in hiv infected patients the development of central nervous system toxoplasmosis in aids","1990 Jun",1990
"central nervous system toxoplasmosis in aids patients efficacy of an intermittent maintenance therapy","1990 Jun",1990
"treatment with doxycycline and nifuroxazide of isospora belli infection in aids","1990 Jun",1990
"hiv infection and natural killer cytotoxicity in hemophilic patients","1990 Jun",1990
"phase ia ib trial of an anti gd3 monoclonal antibody in combination with interferon alpha in patients with malignant melanoma","1990 Jun",1990
"computed tomography aspects of cerebral toxoplasmosis in aids","1990 Jun",1990
"information a tool in the campaign against aids in mozambique","1990 Jun",1990
"elimination of high titre hiv from fibreoptic endoscopes","1990 Jun",1990
"aids and tuberculosis","1990 Jun",1990
"buspirone in drug users with aids or aids related complex","1990 Jun",1990
"factors associated with aids and aids like syndrome among homosexual and bisexual men in minas gerais brazil","1990 Jun",1990
"dynamics of hiv infection and aids in central african cities","1990 Jun",1990
"patient care issues in the acquired immunodeficiency syndrome","1990 Jun",1990
"epidemiology of human immunodeficiency virus infection and acquired immunodeficiency syndrome in the united states","1990 Jun",1990
"hiv detection with polymerase chain reaction","1990 Jun",1990
"antibodies against cryptantigens of platelets in patients with hiv related thrombocytopenia","1990 Jun",1990
"pediatric aids psychosocial impact","1990 Jun",1990
"epidemiology of aids","1990 Jun",1990
"spectrum of syphilis in patients with human immunodeficiency virus infection","1990 Jun",1990
"declining gonorrhoea rates in the netherlands 1976 88 consequences for the aids epidemic","1990 Jun",1990
"update on hiv testing at a london sexually transmitted diseases clinic long term impact of the aids media campaigns","1990 Jun",1990
"postoperative autotransfusion an overview of techniques and clinical efficacy","1990 Jun",1990
"can aids be prevented after injury with contaminated instruments","1990 Jun",1990
"ethics of refusing to serve a patient with aids","1990 Jun",1990
"our hearing can we preserve it","1990 Jun",1990
"wsu medical students are taking steps to educate detroit area youths adults about std aids","1990 Jun",1990
"when keeping secrets may cause harm","1990 Jun",1990
"aids education practices among massachusetts physicians","1990 Jun",1990
"drug and aids education for australian youth the get real project","1990 Jun",1990
"postexposure use of zidovudine by health care workers examined in public health service statement","1990 Jun",1990
"lymphocytic alveolitis in primary hiv infection","1990 Jun",1990
"molecular cloning and characterization of a german hiv 1 isolate","1990 Jun",1990
"attenuation of hiv 1 infectivity by an inhibitor of oligosaccharide processing","1990 Jun",1990
"kinetics of hiv 1 replication and intracellular accumulation of particles in htlv i transformed cells","1990 Jun",1990
"detection of serum antibodies to retroviral proteins in patients with primary sj gren s syndrome autoimmune exocrinopathy","1990 Jun",1990
"serologic investigations in a new york city cohort of parenteral drug users","1990 Jun",1990
"children with aids issues and future directions","1990 Jun",1990
"hiv disease from discovery to management the major role of the dermatologist","1990 Jun",1990
"vaccine development for hiv infection","1990 Jun",1990
"aids risk and prevention for the chronic mentally ill","1990 Jun",1990
"projections of the hiv aids epidemic for homosexual bisexual men in france the federal republic of germany and the united kingdom","1990 Jun",1990
"experience with home aerosolized pentamidine treatment in patients with aids","1990 Jun",1990
"aids and danish adolescents knowledge attitudes and behaviour relevant to the prevention of hiv infection","1990 Jun",1990
"screening for drugs of abuse effect of heat treating urine for safe handling of samples","1990 Jun",1990
"analysis of induced sputum in the diagnosis of pneumocystis carinii pneumonia","1990 Jun",1990
"impact of routine chest radiography on the management of patients admitted from an emergency service","1990 Jun",1990
"hiv infection an educational program on prevention for college freshmen","1990 Jun",1990
"association of syphilis with risk of human immunodeficiency virus infection in patients attending sexually transmitted disease clinics","1990 Jun",1990
"importance to the practicing surgeon of knowing the human immunodeficiency virus status of patients","1990 Jun",1990
"secretary of health and human services louis w sullivan s remarks at the 67th annual session","1990 Jun",1990
"aids bill passes senate va pay bill introduced","1990 Jun",1990
"podiatric care of the hiv infected patient in the military","1990 Jun",1990
"associations between cerebrospinal fluid parameters and high degrees of anxiety or depression in united states air force personnel infected with human immunodeficiency virus","1990 Jun",1990
"does inhalation of pentamidine in the supine position increase deposition in the upper part of the lung","1990 Jun",1990
"seizures in human immunodeficiency virus infection","1990 Jun",1990
"human t cell lymphotropic virus type i htlv i among female prostitutes in kinshasa zaire","1990 Jun",1990
"case against hiv antibody testing of refugees and immigrants","1990 Jun 1",1990
"hiv dangerous and contagious","1990 Jun 1",1990
"radiologic distinction of pyogenic pulmonary infection from pneumocystis carinii pneumonia in aids patients","1990 Jun",1990
"radiographic distribution of pneumocystis carinii pneumonia in patients with aids treated with prophylactic inhaled pentamidine","1990 Jun",1990
"human immunodeficiency virus infection physicians responsibilities committee on ethics the american college of obstetricians and gynecologists","1990 Jun",1990
"2 azido 2 3 dideoxypyrimidine nucleosides synthesis and antiviral activity against human immunodeficiency virus","1990 Jun",1990
"synthesis and structure activity relationships of 6 substituted 2 3 dideoxypurine nucleosides as potential anti human immunodeficiency virus agents","1990 Jun",1990
"relative inefficiency of soluble recombinant cd4 for inhibition of infection by monocyte tropic hiv in monocytes and t cells","1990 Jun 1",1990
"upper airway obstruction due to tonsillar lymphadenopathy in human immunodeficiency virus infection","1990 Jun",1990
"antibodies to human immunodeficiency virus in the breast milk of healthy seropositive women","1990 Jun",1990
"human immunodeficiency virus does not induce interleukin 1 interleukin 6 or tumor necrosis factor in mononuclear cells","1990 Jun",1990
"role of n linked glycans of envelope glycoproteins in infectivity of human immunodeficiency virus type 1","1990 Jun",1990
"effect of n 3 phenyl 2 propenyl 1 deoxynojirimycin on the lectin binding to hiv 1 glycoproteins","1990 Jun",1990
"psychiatric manifestations of hiv disease","1990 Jun",1990
"light and electron microscopic appearances of pathological changes in hiv gut infection","1990 Jun",1990
"kaposi s sarcoma and lymphoma of the gut in aids","1990 Jun",1990
"cryptosporidiosis and aids","1990 Jun",1990
"non opportunistic causes of diarrhoea in hiv infection","1990 Jun",1990
"gastroenterological aspects of aids in the third world","1990 Jun",1990
"malabsorption malnutrition and hiv disease","1990 Jun",1990
"oral manifestations of hiv disease","1990 Jun",1990
"aids an overview","1990 Jun",1990
"ulcerative herpes simplex as the first manifestation of aids","1990 Jun",1990
"first experience with bcg discontinuation in europe bcg vaccination and hiv infection","1990 Jun-Sep",1990
"progressive disseminated histoplasmosis in the acquired immunodeficiency syndrome a model for disseminated disease","1990 Jun",1990
"cryptococcal meningitis in the acquired immunodeficiency syndrome","1990 Jun",1990
"visceral leishmaniasis in alicante analysis of 21 cases","1990 Jun",1990
"impact of acquired immunodeficiency syndrome aids on tuberculosis control in papua new guinea","1990 Jun",1990
"sexual behavior of filipino female prostitutes after diagnosis of hiv infection","1990 Jun",1990
"clinical manifestations of hormonal changes in the menstrual cycle","1990 Jun",1990
"immunodominant antigen of candida albicans shows homology to the enzyme enolase","1990 Jun",1990
"a radioimmunoprecipitation method in the serodiagnosis of hiv infection the development of the optimal conditions for its performance and the evaluation of the possibilities for its use","1990 Jun",1990
"development of immunomodulators for treatment of hiv infection","1990 Jun",1990
"grip and stick and the lymphatics","1990 Jun",1990
"aids kaposi sarcoma and the lymphatic system update and reflections","1990 Jun",1990
"measures for the prevention of aids in medical institutions","1990 Jun",1990
"new methods of interlaboratory monitoring of hiv 1 elisa kits comparative study of 2 periods 1 12 1988 to 15 4 1989 and 15 4 1989 to 31 8 1989 le groupe r trovirus de la soci t nationale de transfusion sanguine","1990 Jun",1990
"oral hairy leukoplakia in patients with hiv infection","1990 Jun",1990
"alterations in respiratory mechanics following thoracotomy","1990 Jun",1990
"preoperative autologous blood donation","1990 Jun",1990
"aids a new worldwide epidemic disease","1990 Jun",1990
"sexually transmitted diseases and enteric infections in the male homosexual population","1990 Jun",1990
"human immunodeficiency virus infection a survey with special emphasis on mucocutaneous manifestations","1990 Jun",1990
"diagnosis and management of acute genital ulcers in sexually active patients","1990 Jun",1990
"syphilis test procedures and therapeutic strategies","1990 Jun",1990
"epidemiology of sexually transmitted diseases in africa and latin america","1990 Jun",1990
"treatment with bovine hyperimmune colostrum of cryptosporidial diarrhea in aids patients","1990 Jun",1990
"characterization of the african hiv 1 isolate cbl 4 rut by partial sequence analysis and virus neutralization with peptide antibody and antisense phosphate methylated dna","1990 Jun",1990
"immunogenicity and antigenicity of conserved peptides from the envelope of hiv 1 expressed at the surface of recombinant bacteria","1990 Jun",1990
"infection of human fibroblasts and osteoblast like cells with hiv 1","1990 Jun",1990
"application of flow cytometry to the study of hiv infection","1990 Jun",1990
"titration of human immunodeficiency virus type 1 hiv 1 and quantitative analysis of virus expression in vitro using liquid rna rna hybridization","1990 Jun",1990
"pefloxacin in the antibacterial treatment of immunodepressed patients","1990 Jun",1990
"evaluation of a human immunodeficiency virus test algorithm utilizing a recombinant protein enzyme immunoassay","1990 Jun",1990
"are cialit preserved ossicles as middle ear implants still bacteriologically defensible their replacement by pre formed implants fashioned from teeth","1990 Jun",1990
"head and neck manifestations of the acquired immunodeficiency syndrome in children","1990 Jun",1990
"occupational transmission of human immunodeficiency virus","1990 Jun",1990
"fungal infections in patients infected with hiv","1990 Jun",1990
"adult hearing loss","1990 Jun",1990
"fluconazole a review of its pharmacodynamic and pharmacokinetic properties and therapeutic potential in superficial and systemic mycoses","1990 Jun",1990
"enzyme immunoassay for detection of hybrids between pcr amplified hiv 1 dna and a rna probe pcr eia","1990 Jun",1990
"politics and economics of aids","1990 Jun",1990
"antiviral therapy against hiv infection","1990 Jun",1990
"cutaneous manifestations of hiv infection other than kaposi s sarcoma clinical and histologic aspects","1990 Jun",1990
"changing incidence of kaposi s sarcoma among patients with aids","1990 Jun",1990
"clinical manifestations of classical endemic african and epidemic aids associated kaposi s sarcoma","1990 Jun",1990
"neurologic disorders associated with hiv infections","1990 Jun",1990
"hiv infection in children","1990 Jun",1990
"langerhans cells in hiv 1 infection","1990 Jun",1990
"antigenic characterization of the human immunodeficiency viruses","1990 Jun",1990
"hiv virology implications for the pathogenesis of hiv infection","1990 Jun",1990
"biology of retroviruses detection molecular biology and treatment of retroviral infection","1990 Jun",1990
"risk of transmission of hiv to home care and health care workers","1990 Jun",1990
"parotid gland enlargement in hiv infection clinical imaging findings","1990 Jun",1990
"pediatric human immunodeficiency virus infection an otolaryngologist s perspective","1990 Jun",1990
"ocular manifestations of sexually transmitted diseases","1990 Jun",1990
"macrophages and the human immunodeficiency virus","1990 Jun",1990
"acquired immunodeficiency syndrome associated non hodgkin s lymphoma","1990 Jun",1990
"epidemic kaposi s sarcoma","1990 Jun",1990
"detection prevention and treatment of retroviral infections","1990 Jun",1990
"biology and pathogenesis of retroviruses","1990 Jun",1990
"public health and community related consequences of the human immunodeficiency virus epidemic","1990 Jun",1990
"characterization of the fusion domain of the human immunodeficiency virus type 1 envelope glycoprotein gp41","1990 Jun",1990
"antiviral therapy in pregnancy","1990 Jun",1990
"study of hiv vaccine begins","1990 Jun",1990
"gangrenous herpetic whitlow in a human immunodeficiency virus positive patient","1990 Jun",1990
"pertussis in an adult man infected with the human immunodeficiency virus","1990 Jun",1990
"in defense of mucosal surfaces development of novel vaccines for iga responses protective at the portals of entry of microbial pathogens","1990 Jun",1990
"development of an aids vaccine biological and ethical challenges","1990 Jun",1990
"organic mental disorders caused by hiv update on early diagnosis and treatment","1990 Jun",1990
"human immunodeficiency virus like nonreplicating gag env particles assemble in a recombinant vaccinia virus expression system","1990 Jun",1990
"workshop summary on the immunotherapy of retrovirus infections armed forces retrovirus research group","1990 Jun",1990
"polymerase chain reaction pcr a valuable method for retroviral detection","1990 Jun",1990
"lymphatic tissue changes in aids and other retrovirus infections tools and insights","1990 Jun",1990
"prevention of sexually transmitted diseases and abortions the present situation for medical care of sexually transmitted diseases in sweden","1990 Jun",1990
"high levels of epstein barr virus in the oropharynx a predictor of disease progression in human immunodeficiency virus infection","1990 Jun",1990
"detection of herpes viral genomes in normal and diseased corneal epithelium","1990 Jun",1990
"statistics from the world health organization and the centers for disease control","1990 Jun",1990
"altered mitogen response of peripheral blood lymphocytes in different stages of feline immunodeficiency virus infection","1990 Jun",1990
"production and purification of pcr derived recombinant simian immunodeficiency virus p27 gag protein its use in detecting serological and t cell responses in macaques","1990 Jun",1990
"affinity based collection of amplified viral dna application to the detection of human immunodeficiency virus type 1 human cytomegalovirus and human papillomavirus type 16","1990 Jun",1990
"effect of mycobacterium leprae s phenolic glycolipid i on interferon gamma augmentation of monocyte oxidative responses","1990 Jun",1990
"treatment of cytomegalovirus retinitis with zidovudine and ganciclovir in patients with aids outcome and toxicity","1990 Jun",1990
"increased ratio of quinolinic acid to kynurenic acid in cerebrospinal fluid of d retrovirus infected rhesus macaques relationship to clinical and viral status","1990 Jun",1990
"cytomegalovirus in the lungs of patients with aids respiratory pathogen or passenger","1990 Jun",1990
"viral vaccines of the future","1990 Jun",1990
"detection of fungi and other pathogens in immunocompromised patients by bronchoalveolar lavage in an area endemic for coccidioidomycosis","1990 Jun",1990
"spectrum of clinical and laboratory findings resulting from human herpesvirus 6 hhv 6 in patients with mononucleosis like illnesses not resulting from epstein barr virus or cytomegalovirus","1990 Jun",1990
"severe encephalitis resulting from coinfections with hiv and jc virus","1990 Jun",1990
"vacuolar degeneration in mice infected with a coronavirus jhm cc strain","1990 Jun",1990
"induction of aids in rhesus monkeys by molecularly cloned simian immunodeficiency virus","1990 Jun 1",1990
"in vitro susceptibility of t lymphocytes from chimpanzees pan troglodytes to human herpesvirus 6 hhv 6 a potential animal model to study the interaction between hhv 6 and human immunodeficiency virus type 1 in vivo","1990 Jun",1990
"cultivation of hiv 1 virus on mononuclear peripheral blood cells of hiv 1 seropositive individuals","1990 Jun",1990
"diminished response to recombinant hepatitis b vaccine in homosexual men with hiv antibody an indicator of poor prognosis","1990 Jun",1990
"rationale for anti aids chemotherapy directed at hiv 1 infected dendritic cells in seropositive individuals prior to the appearance of arc and aids","1990 Jun",1990
"photodynamic therapy for treatment of aids related oral kaposi s sarcoma","1990 Jun",1990
"immunology of hiv infection","1990 Jun",1990
"onychomycosis and aids clinical and laboratory findings in 62 patients","1990 Jun",1990
"detection of human immunodeficiency virus dna in dendritic cells from the joints of patients with aseptic arthritis","1990 Jun",1990
"aids precautions and delicate microsurgical instrumentation","1990 Jun",1990
"human c3b receptor function and role in human diseases","1990 Jun",1990
"false security","1990 Jun",1990
"effect of inhaled preservatives on asthmatic subjects ii benzalkonium chloride","1990 Jun",1990
"human immunodeficiency virus vpr product is a virion associated regulatory protein","1990 Jun",1990
"knowledge attitudes and practices on the acquired immune deficiency syndrome aids among health workers in nyeri a district in kenya","1990 Jun",1990
"the endodontist and aids","1990 Jun",1990
"tuberculosis in a primary care center in a socioeconomically depressed area variables associated with giving up treatment","1990 Jun",1990
"aids practising safe endoscopy","1990 Jun",1990
"what mediates the immunopathological component of the immune response to mycobacterium tuberculosis can it be switched off","1990 Jun-Sep",1990
"virological monitoring in subjects with hiv infection under treatment with zidovudine azt","1990 Jun",1990
"workshop on diagnosis and prognosis of hiv infection armed forces retrovirus research group","1990 Jun",1990
"epidemiology of sexually transmitted diseases in southeast asia and the western pacific","1990 Jun",1990
"cultivation of human immunodeficiency virus from whole blood effect of anticoagulant and inoculum size on virus growth","1990 Jun",1990
"anti idiotypic antibodies of a predefined specificity generated against cdr3vh synthetic peptides define a private anti cd4 idiotype","1990 Jun",1990
"social and drug taking behaviour of maintained opiate addicts","1990 Jun",1990
"inhibition of lymphocyte il2 receptor expression by factor viii concentrate a possible cause of immunosuppression in haemophiliacs","1990 Jun",1990
"hiv 1 p24 antigenaemia does not predict time of survival in aids patients","1990 Jun",1990
"recombinant cd4 pseudomonas exotoxin hybrid protein displays hiv specific cytotoxicity without affecting mhc class ii dependent functions","1990 Jun",1990
"cd8 t lymphocytes of patients with aids maintain normal broad cytolytic function despite the loss of human immunodeficiency virus specific cytotoxicity","1990 Jun",1990
"risks options and informed consent for blood transfusion in elective surgery","1990 Jun",1990
"conserved idiotype and antibodies to retroviral proteins in systemic lupus erythematosus","1990 Jun",1990
"advances in the diagnosis of pulmonary complications in patients infected with the human immunodeficiency virus","1990 Jun",1990
"toxoplasmosis in patients with hiv infections diagnosis and treatment","1990 Jun-Jul",1990
"behaviour of different clinical immunological and serological parameters observed in a group of hiv positive patients during a 12 month treatment period with zidovudine","1990 Jun",1990
"characterization of a putative cellular receptor for hiv 1 transmembrane glycoprotein using synthetic peptides","1990 Jun",1990
"productive infection of both cd4 and cd4 human cell lines with hiv 1 hiv 2 and sivagm","1990 Jun",1990
"t cell subset alterations and lymphocyte responsiveness to mitogens and antigen during severe primary infection with hiv a case series of seven consecutive hiv seroconverters","1990 Jun",1990
"alternative strategy for therapy of aids a cure","1990 Jun",1990
"monitoring of lymphocyte subpopulation changes in the assessment of hiv infection","1990 Jun",1990
"ten points on aids for world aids day","1990 Jun",1990
"asymptomatic patients with hiv infection keeping them well","1990 Jun",1990
"cd4 derived synthetic peptide blocks the binding of hiv 1 gp120 to cd4 bearing cells and prevents hiv 1 infection","1990 Jun",1990
"interferon alpha with zidovudine safety tolerance and clinical and virologic effects in patients with kaposi sarcoma associated with the acquired immunodeficiency syndrome aids","1990 Jun 1",1990
"use of interactive media for hiv aids prevention in the military community","1990 Jun",1990
"unintegrated dna in cells infected in vitro with human immunodeficiency virus hiv a new approach to suppression of virus release","1990 Jun",1990
"confronting the hypervariability of an immunodominant epitope eliciting virus neutralizing antibodies from the envelope glycoprotein of the human immunodeficiency virus type 1 hiv 1","1990 Jun",1990
"putative approach for gene therapy against human immunodeficiency virus hiv","1990 Jun",1990
"in vitro infection of monocytes with hivba l effect on cell surface expression of cd4 cd14 hla dr and hla dq","1990 Jun",1990
"defining minimal requirements for antibody production to peptide antigens","1990 Jun",1990
"discrimination of hepatitis b virus hbv subtypes using monoclonal antibodies to the pres1 and pres2 domains of the viral envelope","1990 Jun",1990
"antigenic epitopes of nef proteins from different hiv 1 strains as recognized by sera from patients with manifest and latent hiv infection","1990 Jun",1990
"myelin basic protein detection","1990 Jun",1990
"inhibition of human immunodeficiency virus hiv infection in vitro by anticarbohydrate monoclonal antibodies peripheral glycosylation of hiv envelope glycoprotein gp120 may be a target for virus neutralization","1990 Jun",1990
"risk behaviours for hiv infection among drug users in prison","1990 May 26",1990
"recombinant human erythropoietin for patients with aids treated with zidovudine","1990 May 24",1990
"greater hiv infection risk now facing women","1990 May 23-29",1990
"who symposium avoiding an overload of aids information is important","1990 May 23",1990
"tuberculosis therapy 1990","1990 May 22",1990
"new indications for intravenous immunoglobulins","1990 May 21",1990
"aids clinical trials group phase i ii study of combination 2 3 dideoxycytidine and zidovudine in patients with acquired immunodeficiency syndrome aids and advanced aids related complex","1990 May 21",1990
"salvage therapy for zidovudine intolerant hiv infected patients with alternating and intermittent regimens of zidovudine and dideoxycytidine","1990 May 21",1990
"alternating and intermittent regimens of zidovudine 3 azido 3 deoxythymidine and dideoxycytidine 2 3 dideoxycytidine in the treatment of patients with acquired immunodeficiency syndrome aids and aids related complex","1990 May 21",1990
"treatment of human immunodeficiency virus infected infants and young children with dideoxynucleosides","1990 May 21",1990
"safety and tolerance of dideoxycytidine as a single agent results of early phase studies in patients with acquired immunodeficiency syndrome aids or advanced aids related complex study group of the aids clinical trials group of the national institute of allergy and infectious diseases","1990 May 21",1990
"identification of a potent synthetic hiv1 immunogen compromising gag p24 tandem t and b cell epitopes","1990 May 21",1990
"pharmacodynamics of 2 3 dideoxycytidine an inhibitor of human immunodeficiency virus","1990 May 21",1990
"preventive aspects in the use of serologic markers of the human immunodeficiency virus infection","1990 May 19",1990
"false positive anti neutrophil cytoplasmic antibodies in hiv infection","1990 May 19",1990
"surgeon and hiv infection","1990 May 19",1990
"screening for tuberculosis and tuberculous infection in high risk populations recommendations of the advisory committee for elimination of tuberculosis","1990 May 18",1990
"resolution of racemic carbovir and selective inhibition of human immunodeficiency virus by the enantiomer","1990 May 16",1990
"ethics","1990 May 16",1990
"cdc s hot line america responds to aids","1990 May 16",1990
"aids activities from day 1 to something big","1990 May 16",1990
"hodgkin s disease in patients with antibodies to human immunodeficiency virus a study of 22 patients","1990 May 15",1990
"expansion of large granular lymphocytes natural killer cells with limited antigen expression cd2 cd3 cd4 cd8 cd16 nkh 1 in a human immunodeficiency virus positive homosexual man","1990 May 15",1990
"case against hiv antibody testing of refugees and immigrants","1990 May 15",1990
"internalization of human immunodeficiency virus type i and other retroviruses by megakaryocytes and platelets","1990 May 15",1990
"median incubation time for human immunodeficiency virus hiv","1990 May 15",1990
"aerosolized pentamidine effect on diagnosis and presentation of pneumocystis carinii pneumonia","1990 May 15",1990
"aids trials civil liberties and the social control of therapy should we embrace new drugs with open arms","1990 May 15",1990
"aids related b cell non hodgkin s lymphomas in direct blood stream hiv infected patients pathogenesis and differentiation features","1990 May 15",1990
"inhibition of protein kinase c and anti cd3 induced ca2 influx in jurkat t cells by a synthetic peptide with sequence identity to hiv 1 gp41","1990 May 15",1990
"safety and efficacy of zidovudine azt in the treatment of subjects with mildly symptomatic human immunodeficiency virus type 1 hiv infection a double blind placebo controlled trial the aids clinical trials group","1990 May 15",1990
"zidovudine for early human immunodeficiency virus hiv infection who when and how","1990 May 15",1990
"hiv infection syphilis and genital diseases in maun botswana","1990 May 14",1990
"aids courses","1990 May 12",1990
"soluble cd4 another therapeutic option in hiv infection","1990 May 12",1990
"hepatitis c antibody and chronic liver disease in haemophilia","1990 May 12",1990
"partition coefficients and capacity factors of some nucleoside analogues","1990 May 11",1990
"hiv testing and risk prone behavior among drug abusers in oslo","1990 May 10",1990
"aids and contraception increased use of condoms at the time of first intercourse among norwegian adolescents","1990 May 10",1990
"failure of zidovudine prophylaxis after accidental exposure to hiv 1","1990 May 10",1990
"retroviral antibodies in indians","1990 May 10",1990
"once daily administration of 2 3 dideoxyinosine ddi in patients with the acquired immunodeficiency syndrome or aids related complex results of a phase i trial","1990 May 10",1990
"issues in the evaluation of aids education programs the case of california","1990 Jun",1990
"even in perspective hiv specter haunts health care workers most","1990 May 9",1990
"diagnostic and therapeutic technology assessment prophylactic treatment for opportunistic infections in hiv positive patients aerosolized pentamidine","1990 May 9",1990
"labelling of t cell subsets under field conditions in tropical countries adaptation of the immuno alkaline phosphatase staining method for blood smears","1990 May 8",1990
"surfen allergy causing insulin depot s hypersensitivity","1990 May 6",1990
"vertical transmission of hiv 2","1990 May 5",1990
"modern vaccines human immunodeficiency virus and aids challenges and progress","1990 May 5",1990
"frequent isolation of hhv 6 from saliva and high seroprevalence of the virus in the population","1990 May 5",1990
"top focus needed for aids effort","1990 May 4",1990
"autoimmune response in aids","1990 May 3",1990
"question of routine neonatal circumcision","1990 May 3",1990
"evidence found of link between tb and aids","1990 May 2-8",1990
"pneumocystis carinii pneumonia in hiv positive and hiv negative patients","1990 May 2",1990
"aids epidemiology and prevention for clinical practice","1990 May 2",1990
"compulsory isolation of patients with hiv infection psychiatrists must take responsibility","1990 May 2",1990
"skin manifestations in hiv infection","1990 May 2",1990
"human immunodeficiency virus and hepatitis b virus in children transfused in the dr luis manuel morillo king hospital","1990 May-Aug",1990
"aids in children another public health problem","1990 May-Aug",1990
"risk behaviour for hiv transmission in attenders on methadone maintenance","1990 May",1990
"ethics of preventive medicine from around the world","1990 May-Jun",1990
"recent advances in clinical research on t cell lymphoma","1990 May",1990
"cerebrospinal fluid study in chinese patients with multiple sclerosis","1990 May",1990
"evaluation of care of the elderly in the senior citizens health care centre","1990 May",1990
"hiv specific iga antibodies in tears of children with aids or at risk of aids","1990 May-Jun",1990
"nutritional status assessment of hiv positive drug addicts","1990 May",1990
"antisperm antibodies in human immunodeficiency virus infection effects on fertilization and embryonic development","1990 May-Jun",1990
"reproductive health counseling for young men what does it do","1990 May-Jun",1990
"diagnostic definition of cerebral lesions in a case of aids importance of the use of magnetic resonance","1990 May",1990
"prevention of infection at the autopsy table use of so called impenetrable protective gloves","1990 May",1990
"alarming lack of aids data for nurses","1990 May-Jun",1990
"france aids and the workplace","1990 May-Jun",1990
"enterovesical fistula in a patient with cryptosporidiosis and aids ct demonstration","1990 May",1990
"aids related research in sub saharan africa","1990 May",1990
"providing hiv counseling and testing services in methadone maintenance programs","1990 May",1990
"heterosexual behaviour of intravenous drug users in amsterdam implications for the aids epidemic","1990 May",1990
"detection of hiv dna in peripheral blood by the polymerase chain reaction a study of clinical applicability and performance","1990 May",1990
"osteoid osteoma of the femoral neck in the young athlete","1990 May-Jun",1990
"blind comparison of abbott and dupont hiv antigen elisa tests for detecting antigenaemia in asymptomatic human immunodeficiency virus antibody positive homosexual men","1990 May",1990
"progression of human immunodeficiency virus type 1 infection after allogeneic marrow transplantation","1990 May",1990
"neurosyphilis developing during treatment of secondary syphilis with benzathine penicillin in a patient without serologic evidence of human immunodeficiency virus infection","1990 May",1990
